StationID,Latitide,Longitude,Periods
A1,66.556,-163.167,2015
A2,66.560,-163.181,2015
A3,66.222,-163.428,2015
A4,66.223,-163.397,2015
A5,66.224,-163.262,2015
AH,66.553,-163.150,2015
B05,71.363,-156.933,"2010. 2011, 2009, 2015"
B05R,71.363,-156.933,2007
B10,71.392,-157.311,2007
B10R,71.392,-157.310,2007
B15,71.479,-157.479,"2007, 2009, 2014, 2015"
B20,71.571,-157.350,2007
B20R,71.571,-157.349,2007
B30,71.712,-157.649,"2009, 2015"
B35,71.774,-157.797,2007
B35R,71.774,-157.796,2007
B5,66.223,-163.397,"2013, 2014"
B50,66.223,-163.397,"2007, 2009"
B50R,66.223,-163.397,2007
BG01,66.223,-163.397,2009
BG02,66.223,-163.397,2009
BG03,66.223,-163.397,2015
BG04,66.223,-163.397,2009
BG05,66.223,-163.397,2009
BG06,66.223,-163.397,2009
BG07,66.223,-163.397,2009
BG08,66.223,-163.397,2009
BG09,66.223,-163.397,2009
BG10,66.223,-163.397,2009
BG11,66.223,-163.397,2009
BG12,66.223,-163.397,2009
BGA,66.223,-163.397,2014
BGB,66.223,-163.397,2014
BGC,66.223,-163.397,2014
BGD,66.223,-163.397,2014
BGE,66.223,-163.397,2014
BGF,66.223,-163.397,2014
CL05,66.223,-163.397,"2007, 2009, 2013, 2014"
CL10,66.223,-163.397,2007
CL15,66.223,-163.397,2007
CL15_2,66.223,-163.397,2007
CL15B,66.223,-163.397,2007
CL20,66.223,-163.397,"2007, 2009"
CL35,66.223,-163.397,2007
CL5,66.223,-163.397,"2014, 2015"
CL50,66.223,-163.397,"2007, 2009, 2010, 2011, 2014, 2015"
CLN120B,71.486,-166.350,"2009, 2014, 215"
CLN40,71.486,-166.350,"2007, 2014, 2015"
CLN80,71.486,-166.350,2007
CLN90B,71.486,-166.350,"2009, 2014, 2015"
HS-PBN20,71.486,-166.350,"2011, 2012"
HS-PBN40,71.486,-166.350,"2011, 2012"
HS-PLN100,71.486,-166.350,"2011, 2012"
HS-PLN120,71.486,-166.350,"2011, 2012"
HS-WN60,71.486,-166.350,"2011, 2012"
HS-WN80,71.486,-166.350,"2011, 2012"
HSW1,71.486,-166.350,2015
HSW2,71.272,-162.580,2015
HSW3,71.272,-162.580,2015
HSW4,71.272,-162.580,2015
KL01,70.897,-165.329,"2009, 2014, 2015"
KL02,70.897,-165.329,2009
KL03,70.897,-165.329,2009
KL04,70.897,-165.329,2009
KL05,70.897,-165.329,2009
KL06,70.897,-165.329,2009
KL07,70.897,-165.329,2009
KL08,70.897,-165.329,2009
KL09,70.897,-165.329,2009
KL10,70.897,-165.329,2009
KL11,70.897,-165.329,2009
KL12,70.897,-165.329,2009
PL05,70.897,-165.329,"2007, 2009"
PL10,70.897,-165.329,"2007, 2013, 2014, 2015"
PL15,70.897,-165.329,2007
PL20,70.897,-165.329,"2007, 2009"
PL30,70.897,-165.329,"2014, 2015"
PL35,70.897,-165.329,"2007, 2009"
PL35R,70.897,-165.329,2007
PL50,71.712,-157.649,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015"
PLN20,71.712,-157.649,"2014, 2015"
PLN40,71.712,-157.649,"2007, 2008, 2009, 2010, 2011, 2012, 2014, 2015"
PLN60,71.712,-157.649,"2007, 2008, 2009, 2014, 2015"
PLN80,71.712,-157.649,"2009, 2010,2014, 2015 "
PLN80B,71.712,-157.649,"2010, 2011"
W05,71.712,-157.649,"2007, 2009"
W10,71.712,-157.649,"2007, 2013, 2014, 2015"
W10R,71.712,-157.649,2007
W15,71.712,-157.649,2007
W15R,71.712,-157.649,2007
W20,71.712,-157.649,"2007, 2009"
W20R,71.712,-157.649,2007
W30,71.712,-157.649,"2014, 2015"
W35,71.712,-157.649,"2007, 2009, 2010, 2011, 2012"
W35R,71.712,-157.649,2007
W50,71.712,-157.649,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015"
W50R,71.712,-157.649,2007
WN20,71.712,-157.649,"2007, 2008, 2009, 2011, 2012, 2014"
WN40,71.712,-157.649,"2007, 2009, 2010, 2011, 2012, 2013, 2014, 2015"
WN40B,71.712,-157.649,2009
WN40C,71.712,-157.649,2009
WN60,71.712,-157.649,2014
WN80,71.712,-157.649,2014
