#,"This file contains recorder deployment information. Each row contains a set of data concerning the deployment, frequencies, or the recorders. The first field in each row is the key to the rest of the line. If the key is a '#' the line is a comment. Each set of rows is provided with an initial comment row to indicate the purpose of each field in the row. The fields in each row are position dependent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,clientId,location,period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deployment,cpai,chukchi,2009-summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,The frequency points that has the calibration value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frequencyPoints,200,300,400,500,600,700,800,900,1000,1200,1300,1400,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,16000,32000,,,,,,,,,,,,,,,,,,,,,,,
#,recorderId,recorderMake,recorderVersion,stationId,hydrophoneId,hydrophoneMake,sampleRate,channels,bitsPerSample,fileStructure,startDate,startTime,driveNo,latitude,longitude,meters,dropDate,dropTime,recoveryDate,recoveryTime,vPerBit,sensitivity,sensitivityFrequencyPoint,Calibrations for Frequency Points,,,,,,,,,,,,,,,,,,,,,,,,,,,
recorder,001,AMAR,1,B05,120,M15B,16000,1,24,0.b7d282ca.000000.1249242488.2009-08-02-19-48-08.wav,02-Aug-09,19:48:08,0,71.3632167,-156.9354167,58.22,09-Aug-09,21:25:00,12-Oct-09,6:45:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,005,AMAR,1,B15,91,M15B,16000,1,24,0.ced28012.000000.1249242621.2009-08-02-19-50-21.wav,02-Aug-09,19:50:21,0,71.5041167,-157.5006333,96.01,09-Aug-09,19:36:00,12-Oct-09,3:40:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,010,AMAR,1,B30,75,M15B,16000,1,24,,09-Aug-09,6:20:52,0,71.7116833,-157.6480833,63.09,09-Aug-09,17:30:00,12-Oct-09,1:28:00,5.36E-7,-160,250,-160,-160,-160,-160,-160,-160,-160,-160,-160,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,031,AMAR,1,B50,82,M15B,16000,1,24,0.20528252.000000.1249241695.2009-08-02-19-34-55.wav,02-Aug-09,19:34:55,0,71.9870833,-158.2363333,58.83,09-Aug-09,13:48:16,12-Oct-09,13:12:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,050,AMAR,1,BG01,87,M15B,16000,1,24,0.5cd28273.000000.1249239828.2009-08-02-19-03-48.wav,02-Aug-09,19:03:48,0,71.1711833,-163.5512333,42.67,08-Aug-09,12:16:18,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,035,AMAR,1,BG02,71,M15B,16000,1,24,0.c3528292.000000.1249239927.2009-08-02-19-05-29.wav,02-Aug-09,19:05:29,0,71.2431,-163.5461833,12.19,08-Aug-09,10:52:10,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,008,AMAR,1,BG03,116,M15B,16000,1,24,0.c35282ba.000000.1249176869.2009-08-02-01-34-30.wav,02-Aug-09,1:34:30,0,71.3143333,-163.5399,42.67,08-Aug-09,9:22:59,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,042,AMAR,1,BG04,107,M15B,16000,1,24,0.2052824a.000000.1249240033.2009-08-02-19-07-16.wav,02-Aug-09,19:07:16,0,71.3865667,-163.5356,41.76,08-Aug-09,8:37:40,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
recorder,019,AMAR,1,BG05,104,M15B,16000,1,24,0.68d28062.000000.1249176751.2009-08-02-01-32-31.wav,02-Aug-09,1:32:34,0,71.1339167,-163.3605667,42.67,08-Aug-09,12:59:12,13-Oct-09,12:00:00,5.36E-7,-159.1,250,-159.1,-159.1,-159.3,-159.6,-159.3,-158.9,-159.0,-159.3,-159.0,-158.7,-158.6,-158.4,-158.2,-157.8,-158.8,-160.5,-160.7,-160.6,-160.7,-161.1,-161.4,-161.8,-162.0,-161.9,-161.6,-161.0,-162.8,-170.0
