drive,WAVS,CSVS,EXCELS
0,0,0,0
df_ax29,32365,28049,0
df_ax30,37124,17889,0
df_ax31,29149,25079,0
df_ax32,33327,28702,0
df_ax33,38435,14369,0
df_ax35,32468,31739,0
df_ax36,24477,11001,0
df_ax37,25937,8020,0
df_ax38,21518,19366,0
df_ax39,19549,18435,0
df_ax40,10415,9485,0
df_ax42,7378,6518,0
df_ax43,7367,3628,0
df_ax44,7273,6399,0
df_ax45,7157,3504,0
df_ax46,3577,3,0
df_ax47,5856,3482,0
df_ax48,7379,3639,0
df_ax49,6924,3464,0
df_ax50,11775,3,0
df_ax51,325,4062,398
df_ax52,10544,4687,0
df_ax53,2212,80,179
df_ax54,10214,8721,22
df_ax55,9838,4917,0
df_ax56,0,0,0
df_ax57,10876,10875,0
df_ax58,21238,78708,0
df_ax59,10999,10999,0
df_ax60,10992,10993,0
df_ax61,11054,11052,0
df_ax63,10420,10418,0
df_ax64,7389,7388,0
df_ax65,51241,0,0
df_ax66,45177,83,159
df_ax67,44567,112478,0
df_ax68,47843,116037,0
df_ax69,11470,0,0
df_ax70,42312,3,0
df_ax72,59344,2,0
df_ax73,57636,2,0
df_ax74,0,2080,13
df_ax75,94633,310888,0
df_ax76,46295,99960,0
df_ax77,42291,42170,0
df_ax78,9129,45641,0
df_ax79,18267,91311,0
df_ax80,0,5621,473
df_ax81,457829,169413,24
df_ax82,6173,3652,0
df_ax83,52347,0,0
df_ax84,57028,0,0
df_ax85,59129,0,0
df_ax86,64392,0,0
df_ax87,55725,0,0
df_ax88,51625,0,0
df_ax89,8581,0,0
